ID,stageName
1,IV909
2,Atoman Ambient
3,b_o_s_u_n
4,Billy Dublewicz
5,Brilliant Sound Galaxy
6,Burgertron
7,Burnside
8,deciBelboy
9,Dive Guide
10,Full Moon at Midnight
11,Giles Butler
12,Hyperconfidence
13,Ideal Lovers
14,IV454.5
15,Kl(aüs)
16,Maquina Anonima
17,NikNaK
18,Noofny
19,Pingo
20,Polyculture
21,Purple Earth Hypothesis
22,Saturn Belle
23,SeaMonkey
24,Sex Data
25,Static In The Matrix
26,Steve
27,Sticky Paint
28,Sweetbix
29,Synth Club
30,Tarsiidea
31,TimeSpaceX3
32,Ton Synkith
33,Tweekerz
34,Unkraut
35,Visionary Guru
36,Matty Paxton
37,Bea Brabante
38,Jason Gee
39,Little Archer
40,A7K8
41,Finn Klein
42,Magnox
43,Tatzu
