ID,artistID,socialPlatformID,profileName
1,33,7,https://tweekerz.club
2,30,1,tarsiidea
3,7,1,burnside.music
4,9,1,diveguide.noise
5,17,1,nickwishart
6,17,7,https://nickwishart.com
7,17,5,nickwishart4726
8,17,2,niknak0
9,22,1,saturnbellexx
10,22,5,xxsaturnxx
11,6,1,burgertron_music
12,6,13,5zkxxutUaP5BlpKoGnokNS
13,11,1,justgilesmusic
14,32,1,gnopmotarp
15,1,1,intravenus909
16,15,7,https://only1klaus.com
17,31,3,timespacex3
18,4,1,billydublewicz
19,3,1,b_o_s_u_n_
20,23,1,SeaMonkeySounds
21,23,2,SeaMonkeySounds
22,23,3,SeaMonkeySounds
23,23,5,SeaMonkeySounds
24,23,4,seamonkeysounds
25,16,7,https://www.maquinaanonima.com
26,2,5,atomanambient
27,21,8,gridbugs
28,5,1,brilliant_sound_galaxy
29,20,1,polyculture.cr8tv
30,20,4,polyculture
31,24,5,lipstiksexdata4706
32,34,13,5ti2qanuCPwbWWyygArJAz
33,36,1,mattypaxton
34,39,1,littlearcherbeats
35,20,5,PolycultureArt
36,25,3,staticsan
37,25,6,staticsan
38,43,1,tatzumakiii
39,42,3,marcus-ballam
40,40,1,a7k8_music
41,41,1,finn.klein_
